"","customer_id","Index","Data","Fitted","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"1",8141271,2016-01-01,57006.4103393555,34200.7670269914,NA,NA,NA,NA,NA
"2",8141271,2016-02-01,67872.1205749512,57800.9579385939,NA,NA,NA,NA,NA
"3",8141271,2016-03-01,61943.0506591797,70101.6556823205,NA,NA,NA,NA,NA
"4",8141271,2016-04-01,76540.0106506348,86790.2526425454,NA,NA,NA,NA,NA
"5",8141271,2016-05-01,71562.6703491211,62228.4989536543,NA,NA,NA,NA,NA
"6",8141271,2016-06-01,42151.7003479004,50850.6621862049,NA,NA,NA,NA,NA
"7",8141271,2016-07-01,42853.2405700684,108580.318274501,NA,NA,NA,NA,NA
"8",8141271,2016-08-01,47809.8507385254,36496.3969090805,NA,NA,NA,NA,NA
"9",8141271,2016-09-01,62755.350479126,66728.1543556689,NA,NA,NA,NA,NA
"10",8141271,2016-10-01,40114.3301391602,53983.5861061235,NA,NA,NA,NA,NA
"11",8141271,2016-11-01,55476.2408752441,76861.0459339383,NA,NA,NA,NA,NA
"12",8141271,2016-12-01,61112.230430603,4455.17635496837,NA,NA,NA,NA,NA
"13",8141271,2017-01-01,65812.680557251,28063.390715894,NA,NA,NA,NA,NA
"14",8141271,2017-02-01,48096,55855.2482793179,NA,NA,NA,NA,NA
"15",8141271,2017-03-01,76146,63154.5470219035,NA,NA,NA,NA,NA
"16",8141271,2017-04-01,101208,85775.6981706843,NA,NA,NA,NA,NA
"17",8141271,2017-05-01,64517,68417.8529963926,NA,NA,NA,NA,NA
"18",8141271,2017-06-01,64730,53327.6150909903,NA,NA,NA,NA,NA
"19",8141271,2017-07-01,183162,116695.663699742,NA,NA,NA,NA,NA
"20",8141271,2017-08-01,69567,81691.7631979597,NA,NA,NA,NA,NA
"21",8141271,2017-09-01,107395,105349.141860808,NA,NA,NA,NA,NA
"22",8141271,2017-10-01,107003,94292.7977546129,NA,NA,NA,NA,NA
"23",8141271,2017-11-01,145404,124625.749011246,NA,NA,NA,NA,NA
"24",8141271,2017-12-01,9671,64046.5427322994,NA,NA,NA,NA,NA
"25",8141271,2018-01-01,5548,56510.308353623,NA,NA,NA,NA,NA
"26",8141271,2018-02-01,NA,NA,59418.7181546661,19753.6155455134,99083.8207638188,-1243.82141625489,120081.257725587
"27",8141271,2018-03-01,NA,NA,68894.4724358994,27698.5010649709,110090.443806828,5890.6711328663,131898.273738933
"28",8141271,2018-04-01,NA,NA,87871.5438012524,45199.5887324475,130543.498870057,22610.420227791,153132.667374714
"29",8141271,2018-05-01,NA,NA,66184.9650201211,22086.3999460299,110283.530094212,-1257.97027712948,133627.900317372
"30",8141271,2018-06-01,NA,NA,52188.9095411374,6708.46172239223,97669.3573598826,-17367.433037722,121745.252119997
